Week_Start_Date,SKU,Avg_Unit_Cost,Needed_Qty_Lag_1W,Needed_Qty_Lag_2W,Needed_Qty_Lag_4W,Avg_Needed_Qty_Last_4W,Target_Weekly_Quantity_Needed
2021-01-31,SKU1000,119.27,120.36,133.35,129.9,132.4375,138.64
2021-02-07,SKU1000,115.67,138.64,120.36,146.14,134.6225,115.0
2021-02-14,SKU1000,115.58,115.0,138.64,133.35,126.8375,132.93
2021-02-21,SKU1000,107.47,132.93,115.0,120.36,126.7325,167.23
2021-02-28,SKU1000,108.16,167.23,132.93,138.64,138.45,154.36
2021-03-07,SKU1000,123.25,154.36,167.23,115.0,142.38,141.26
2021-03-14,SKU1000,132.96,141.26,154.36,132.93,148.945,157.44
2021-03-21,SKU1000,127.17,157.44,141.26,167.23,155.0725,145.82
2021-03-28,SKU1000,97.03,145.82,157.44,154.36,149.72,156.17
2021-04-04,SKU1000,117.55,156.17,145.82,141.26,150.17249999999999,139.52
2021-04-11,SKU1000,120.0,139.52,156.17,157.44,149.73749999999998,161.52
2021-04-18,SKU1000,104.17,161.52,139.52,145.82,150.7575,102.02
2021-04-25,SKU1000,120.99,102.02,161.52,156.17,139.8075,96.01
2021-05-02,SKU1000,136.39,96.01,102.02,139.52,124.76750000000001,107.93
2021-05-09,SKU1000,118.1,107.93,96.01,161.52,116.87,156.17
2021-05-16,SKU1000,111.88,156.17,107.93,102.02,115.5325,137.15
2021-05-23,SKU1000,124.03,137.15,156.17,96.01,124.315,126.86
2021-05-30,SKU1000,115.46,126.86,137.15,107.93,132.0275,123.03
2021-06-06,SKU1000,115.21,123.03,126.86,156.17,135.80249999999998,124.86
2021-06-13,SKU1000,129.99,124.86,123.03,137.15,127.975,108.97
2021-06-20,SKU1000,123.73,108.97,124.86,126.86,120.93,92.11
2021-06-27,SKU1000,112.65,92.11,108.97,123.03,112.2425,113.59
2021-07-04,SKU1000,110.18,113.59,92.11,124.86,109.8825,120.17
2021-07-11,SKU1000,118.48,120.17,113.59,108.97,108.71,98.65
2021-07-18,SKU1000,107.67,98.65,120.17,92.11,106.13,160.01
2021-07-25,SKU1000,124.07,160.01,98.65,113.59,123.10499999999999,90.09
2021-08-01,SKU1000,111.19,90.09,160.01,120.17,117.23,103.08
2021-08-08,SKU1000,106.47,103.08,90.09,98.65,112.9575,78.67
2021-08-15,SKU1000,121.86,78.67,103.08,160.01,107.96249999999999,103.82
2021-08-22,SKU1000,109.99,103.82,78.67,90.09,93.915,118.55
2021-08-29,SKU1000,116.16,118.55,103.82,103.08,101.03,94.23
2021-09-05,SKU1000,116.96,94.23,118.55,78.67,98.8175,86.29
2021-09-12,SKU1000,107.08,86.29,94.23,103.82,100.7225,87.15
2021-09-19,SKU1000,123.97,87.15,86.29,118.55,96.555,106.28
2021-09-26,SKU1000,117.9,106.28,87.15,94.23,93.4875,102.62
2021-10-03,SKU1000,108.02,102.62,106.28,86.29,95.58500000000001,102.3
2021-10-10,SKU1000,119.5,102.3,102.62,87.15,99.5875,100.15
2021-10-17,SKU1000,124.47,100.15,102.3,106.28,102.8375,121.39
2021-10-24,SKU1000,121.59,121.39,100.15,102.62,106.61500000000001,128.17
2021-10-31,SKU1000,116.09,128.17,121.39,102.3,113.0025,141.46
2021-11-07,SKU1000,118.81,141.46,128.17,100.15,122.79249999999999,113.99
2021-11-14,SKU1000,111.65,113.99,141.46,121.39,126.2525,126.44
2021-11-21,SKU1000,127.83,126.44,113.99,128.17,127.51499999999999,101.89
2021-11-28,SKU1000,115.97,101.89,126.44,141.46,120.945,140.0
2021-12-05,SKU1000,102.69,140.0,101.89,113.99,120.57999999999998,141.29
2021-12-12,SKU1000,123.66,141.29,140.0,126.44,127.405,128.17
2021-12-19,SKU1000,121.69,128.17,141.29,101.89,127.8375,152.4
2021-12-26,SKU1000,114.27,152.4,128.17,140.0,140.465,177.43
2022-01-02,SKU1000,113.05,177.43,152.4,141.29,149.8225,150.24
2022-01-09,SKU1000,132.46,150.24,177.43,128.17,152.06,140.91
2022-01-16,SKU1000,121.64,140.91,150.24,152.4,155.245,150.8
2022-01-23,SKU1000,118.96,150.8,140.91,177.43,154.845,130.47
2022-01-30,SKU1000,115.68,130.47,150.8,150.24,143.10500000000002,152.8
2022-02-06,SKU1000,99.9,152.8,130.47,140.91,143.745,154.64
2022-02-13,SKU1000,108.73,154.64,152.8,150.8,147.1775,141.95
2022-02-20,SKU1000,132.66,141.95,154.64,130.47,144.96499999999997,139.32
2022-02-27,SKU1000,119.57,139.32,141.95,152.8,147.1775,138.35
2022-03-06,SKU1000,113.81,138.35,139.32,154.64,143.565,148.89
2022-03-13,SKU1000,123.64,148.89,138.35,141.95,142.1275,165.16
2022-03-20,SKU1000,118.25,165.16,148.89,139.32,147.93,143.36
2022-03-27,SKU1000,120.91,143.36,165.16,138.35,148.94,157.48
2022-04-03,SKU1000,119.48,157.48,143.36,148.89,153.7225,115.24
